Timestamp,[.] Pregistration Choice 1,[.] Pregistration Choice 2,[.] Pregistration Choice 3,[.] Pregistration Choice 4,[*] Pregistration All Choice,[.] Choice 1 Attendance,[.] Choice 2 Attendance,[.] Choice 3 Attendance,[.] Choice 4 Attendance,[*] Attendance All Choices,[.] Participant Role,[.] Belonging Planning Unit,[.] Belonging Department,[.] Belonging Division,[.] Just to see the column alone
7/21/15 23:47,Innovation on Data Centers -- David Nalley (External),Block Chain -- Deepak Janardhanan,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Innovation on Data Centers -- David Nalley (External),Block Chain -- Deepak Janardhanan,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Staff,DA & FIN Delivery,DA Programme Office,IT,TechDay
7/22/15 11:27,Combinatorial Testing -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Combinatorial Testing -- Jerry Kickenson,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,Open Stack -- Michael Solberg (Red Hat),More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,Product Assurance & Certification,SWIFTNet & SNL Testing,IT,TechDay
7/22/15 15:33,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Open Stack -- Michael Solberg (Red Hat),Internal Audit -- Bradly Vancamp,Distributed Ledgers -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,,,,,,Staff,Technology Management,Configuration Management,IT,TechDay
7/22/15 15:34,Open Stack -- Michael Solberg (Red Hat),Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Containers -- Red Hat (External),Security Incident Analysis & Response -- Eric Bartel & Satya P.,Open Stack -- Michael Solberg (Red Hat),Innovation on Data Centers -- David Nalley (External),,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Staff,Technology Management,OSS Systems & Apps Mgt Dev/Maint,IT,TechDay
7/22/15 15:34,Innovation on Data Centers -- David Nalley (External),Security Incident Analysis & Response -- Eric Bartel & Satya P.,Block Chain -- Deepak Janardhanan,Combinatorial Testing -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),Innovation on Data Centers -- David Nalley (External),,,,Innovation on Data Centers -- David Nalley (External),Staff,DA & FIN Delivery,FIN System Testing,IT,TechDay
7/22/15 15:35,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Internal Audit -- Bradly Vancamp,Containers -- Red Hat (External),My Standards (Webex) -- Nicolas Ernotte,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,,,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,Strategic Architecture,Requirements & Methodology Engineering,IT,TechDay
7/22/15 15:35,Combinatorial Testing -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Block Chain -- Deepak Janardhanan,Combinatorial Testing -- Jerry Kickenson,,,,,,Staff,DA & FIN Delivery,FIN System Integration,IT,TechDay
7/22/15 15:36,Innovation on Data Centers -- David Nalley (External),Business Intelligence -- Pieter Camps,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Innovation on Data Centers -- David Nalley (External),,,,Innovation on Data Centers -- David Nalley (External),L1 Manager,Strategic Architecture,Strategic Architecture,IT,TechDay
7/22/15 15:37,Distributed Ledgers -- Jerry Kickenson,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Combinatorial Testing -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),Distributed Ledgers -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Staff,Messaging Solutions,Messaging Core,IT,TechDay
7/22/15 15:37,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Open Stack -- Michael Solberg (Red Hat),,,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),,Staff,Enterprise Operations,EM SA & ATM US,Operations,TechDay
7/22/15 15:37,Innovation on Data Centers -- David Nalley (External),Containers -- Red Hat (External),Business Intelligence -- Pieter Camps,Distributed Ledgers -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Manager,Messaging Solutions,Messaging Development,IT,TechDay
7/22/15 15:40,Open Stack -- Michael Solberg (Red Hat),Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),New Payment Platform -- Kumar Venkataramiah,Open Stack -- Michael Solberg (Red Hat),,,,,,Staff,DA & FIN Delivery,SCP - UNN,IT,TechDay
7/22/15 15:47,New Payment Platform -- Kumar Venkataramiah,Distributed Ledgers -- Jerry Kickenson,External Threat Intelligence --Byron Thatcher,Business Intelligence -- Pieter Camps,New Payment Platform -- Kumar Venkataramiah,,,,,,Staff,Messaging Solutions,SWIFTNet Link,IT,TechDay
7/22/15 15:48,Combinatorial Testing -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Open Stack -- Michael Solberg (Red Hat),Business Intelligence -- Pieter Camps,Combinatorial Testing -- Jerry Kickenson,Business Intelligence -- Pieter Camps,Block Chain -- Deepak Janardhanan,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Business Intelligence -- Pieter Camps,Manager,DA & FIN Delivery,DA Programme Office,IT,TechDay
7/22/15 15:53,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Distributed Ledgers -- Jerry Kickenson,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,Technology Management,COTS Baselines,IT,TechDay
